environment,from_year,to_year,algorithm,change_type,pixels,percent
lasy,2016,2021,DBSCAN,0,992984,99.3
lasy,2016,2021,DBSCAN,2,5154,0.52
lasy,2016,2021,DBSCAN,3,1862,0.19
lasy,2016,2026,DBSCAN,0,987110,98.71
lasy,2016,2026,DBSCAN,2,4703,0.47
lasy,2016,2026,DBSCAN,3,8187,0.82
rzeki,2016,2021,DBSCAN,0,952248,95.22
rzeki,2016,2021,DBSCAN,2,3921,0.39
rzeki,2016,2021,DBSCAN,3,43831,4.38
rzeki,2016,2026,DBSCAN,0,102067,10.21
rzeki,2016,2026,DBSCAN,2,897933,89.79
wody,2016,2021,DBSCAN,0,897036,89.7
wody,2016,2021,DBSCAN,2,102964,10.3
wody,2016,2026,DBSCAN,0,900972,90.1
wody,2016,2026,DBSCAN,2,99028,9.9
lasy,2016,2021,HDBSCAN,0,992743,99.27
lasy,2016,2021,HDBSCAN,2,2014,0.2
lasy,2016,2021,HDBSCAN,3,5243,0.52
lasy,2016,2026,HDBSCAN,0,983616,98.36
lasy,2016,2026,HDBSCAN,2,5250,0.52
lasy,2016,2026,HDBSCAN,3,11134,1.11
rzeki,2016,2021,HDBSCAN,0,961933,96.19
rzeki,2016,2021,HDBSCAN,2,10467,1.05
rzeki,2016,2021,HDBSCAN,3,27600,2.76
rzeki,2016,2026,HDBSCAN,0,86631,8.66
rzeki,2016,2026,HDBSCAN,2,913369,91.34
wody,2016,2021,HDBSCAN,0,890592,89.06
wody,2016,2021,HDBSCAN,2,109408,10.94
wody,2016,2026,HDBSCAN,0,894318,89.43
wody,2016,2026,HDBSCAN,2,105682,10.57
