algorithm,environment,from_year,to_year,delta_clusters,delta_noise,delta_ndvi,delta_ndwi
DBSCAN,lasy,2016,2021,0,0.0054,-0.0093,0.0163
DBSCAN,lasy,2021,2026,0,-0.0024,-0.0115,0.0089
DBSCAN,rzeki,2016,2021,0,-0.0278,-0.0014,-0.0089
DBSCAN,rzeki,2021,2026,-1,0.0042,-0.1208,0.0996
DBSCAN,wody,2016,2021,-21,-0.1864,-0.1099,0.1107
DBSCAN,wody,2021,2026,0,0.0082,-0.0682,0.1037
HDBSCAN,lasy,2016,2021,0,-0.011,-0.0093,0.0163
HDBSCAN,lasy,2021,2026,0,0.0096,-0.0115,0.0089
HDBSCAN,rzeki,2016,2021,0,0.0126,-0.0014,-0.0089
HDBSCAN,rzeki,2021,2026,0,0.0198,-0.1208,0.0996
HDBSCAN,wody,2016,2021,-1,-0.1846,-0.1099,0.1107
HDBSCAN,wody,2021,2026,1,-0.0146,-0.0682,0.1037
