environment,year,algorithm,eps,min_samples,clusters,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,mean_ndvi,mean_ndwi
lasy,2016,DBSCAN,0.17497005196509707,15,2,0.003,0.6992871296835134,0.3857294632675185,2948.262975128427,0.4527,-0.4098
lasy,2021,DBSCAN,0.14474304923939818,15,2,0.0084,0.7039524945838984,0.36078077749679877,2622.4769384980964,0.4434,-0.3935
lasy,2026,DBSCAN,0.12176850263865972,15,2,0.006,0.6066776529788411,0.3967438945826707,1375.268677637065,0.4319,-0.3846
rzeki,2016,DBSCAN,0.09958973258588759,15,3,0.0384,0.6017092053687018,0.571206173613489,1664.6342962059923,0.4074,-0.3529
rzeki,2021,DBSCAN,0.1037765341014386,10,3,0.0106,0.5090057023727087,0.6922491524711107,700.5825296504529,0.406,-0.3618
rzeki,2026,DBSCAN,0.100153533815945,15,2,0.0148,0.35522311014743996,0.46222117541287266,44.780034578023624,0.2852,-0.2622
wody,2016,DBSCAN,0.05,10,23,0.1892,-0.07760970818815142,0.885494687106357,1065.1355292895064,0.1342,-0.132
wody,2021,DBSCAN,0.09243332622376096,8,2,0.0028,0.23060587018406106,0.7261302906524744,3.974235655875856,0.0243,-0.0213
wody,2026,DBSCAN,0.05,10,2,0.011,0.2107152048536875,0.8267033896114269,366.4490647969031,-0.0439,0.0824
lasy,2016,HDBSCAN,,15,2,0.0132,0.7089104230749421,0.3469406154110732,,0.4527,-0.4098
lasy,2021,HDBSCAN,,10,2,0.0022,0.7013163643217342,0.37794463028590336,,0.4434,-0.3935
lasy,2026,HDBSCAN,,20,2,0.0118,0.6253940877124088,0.346651830261268,,0.4319,-0.3846
rzeki,2016,HDBSCAN,,15,2,0.02,0.6253596204294407,0.5077657267031451,,0.4074,-0.3529
rzeki,2021,HDBSCAN,,15,2,0.0326,0.5366460787475903,0.4911602094045541,,0.406,-0.3618
rzeki,2026,HDBSCAN,,15,2,0.0524,0.36082543030589825,0.5239313771635938,,0.2852,-0.2622
wody,2016,HDBSCAN,,10,4,0.2538,0.4903249637686352,0.7917275928448734,,0.1342,-0.132
wody,2021,HDBSCAN,,30,3,0.0692,0.5324188856751161,0.8483308606680199,,0.0243,-0.0213
wody,2026,HDBSCAN,,30,4,0.0546,0.25817225198309524,1.060133256171269,,-0.0439,0.0824
